order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Chiroptera,Antrozous_pallidus,Vespertilionidae,A,1.32,1,1,33.69,33.69,Insectivore,N,Forest,TEF,3,1
Chiroptera,Artibeus_jamaicensis,Phyllostomidae,A,1.63,1,1,13.58,13.58,Frugivore,N,Forest,TRF,3,1
Chiroptera,Asellia_tridens,Rhinolophidae,A,1.08,1,1,22.7,22.7,Insectivore,N,Savanna,GS,3,1
Chiroptera,Barbastella_barbastellus,Vespertilionidae,A,0.9,1,1,47.72,47.72,Insectivore,N,Forest,TEF,3,1
Chiroptera,Choeronycteris_mexicana,Phyllostomidae,A,1.22,1,1,24.46,24.46,Frugivore,N,Forest,TRF,3,1
Chiroptera,Desmodus_rotundus,Phyllostomidae,A,1.52,1,1,7.96,-7.96,Carnivore,S,Forest,TRF,3,1
Chiroptera,Euderma_maculatum,Vespertilionidae,A,1.19,1,1,38.67,38.67,Insectivore,N,Forest,TRF,3,1
Chiroptera,Lasionycteris_noctivagans,Vespertilionidae,A,1.02,1,1,43.8,43.8,Insectivore,N,Forest,TEF,3,1
Chiroptera,Lasiurus_borealis,Vespertilionidae,A,1.03,1,1,38.51,38.51,Insectivore,N,Forest,TEF,3,1
Chiroptera,Lasiurus_cinereus,Vespertilionidae,A,1.4,1,1,27.79,27.79,Insectivore,N,Forest,TEF,3,1
Chiroptera,Lasiurus_intermedius,Vespertilionidae,A,1.36,1,1,24.26,24.26,Insectivore,N,Forest,TEF,3,1
Chiroptera,Lasiurus_seminolus,Vespertilionidae,A,1,1,1,32.37,32.37,Insectivore,N,Forest,TRF,3,1
Chiroptera,Miniopterus_australis,Vespertilionidae,A,0.86,1,1,4.71,-4.71,Insectivore,S,Forest,TEF,3,1
Chiroptera,Myotis_blythii,Vespertilionidae,A,1.35,1,1,39.66,39.66,Insectivore,N,Shrubland,TES,3,1
Chiroptera,Myotis_chiloensis,Vespertilionidae,A,0.82,1,1,43.18,-43.18,Insectivore,S,Forest,BF,3,1
Chiroptera,Myotis_chinensis,Vespertilionidae,A,1.62,1,1,24.95,24.95,Insectivore,N,Forest,TRF,3,1
Chiroptera,Myotis_dasycneme,Vespertilionidae,A,1.15,1,1,55.17,55.17,Insectivore,N,Forest,BF,3,1
Chiroptera,Myotis_grisescens,Vespertilionidae,A,1.02,1,1,36.41,36.41,Insectivore,N,Forest,TEF,3,1
Chiroptera,Myotis_lucifugus,Vespertilionidae,A,0.88,1,1,49.73,49.73,Insectivore,N,Forest,TEF,3,1
Chiroptera,Myotis_myotis,Vespertilionidae,A,1.39,1,1,44.92,44.92,Insectivore,N,Forest,TEF,3,1
Chiroptera,Myotis_mystacinus,Vespertilionidae,A,0.7,1,1,51.18,51.18,Insectivore,N,Forest,BF,3,1
Chiroptera,Myotis_sodalis,Vespertilionidae,A,0.84,1,1,38.65,38.65,Insectivore,N,Forest,TEF,3,1
Chiroptera,Myotis_thysanodes,Vespertilionidae,A,0.91,1,1,34.86,34.86,Insectivore,N,Forest,TEF,3,1
