species	logmass3	region3	migstatus3	locomotion3
Monodelphis_theresa	2.05	tropical	0	T
Monodelphis_scalops	2.87	tropical	0	T
Monodelphis_rubida	1.66	tropical	0	T
Monodelphis_osgoodi	2.05	tropical	0	T
Monodelphis_kunsi	1.05	tropical	0	T
Monodelphis_iheringi	2.05	tropical	0	T
Monodelphis_emiliae	1.6	tropical	0	T
Monodelphis_domestica	1.85	tropical	0	T
Monodelphis_dimidiata	1.76	subtropical	0	T
Monodelphis_brevicaudata	1.84	tropical	0	T
Monodelphis_americana	1.29	tropical	0	T
Monodelphis_adusta	1.54	tropical	0	T
Marmosa_robinsoni	1.75	tropical	0	T
Philander_opossum	2.88	tropical	0	T
Macrotis_lagotis	3.13	subtroptropical	0	T
Perameles_nasuta	2.99	subtroptropical	0	T
Isoodon_macrourus	3.2	subtroptropical	0	T
Microperoryctes_papuensis	2.2	tropical	0	T
Planigale_maculata	1.04	subtroptropical	0	T
Potorous_tridactylus	3.04	temperatesubtrop	0	T
Setonix_brachyurus	3.51	subtropical	0	T
Wallabia_bicolor	4.18	subtropical	0	T
Macropus_robustus	4.33	subtroptropical	0	T
Macropus_rufus	4.67	subtropical	0	T
Macropus_parma	3.65	subtropical	0	T
Lagorchestes_conspicillatus	3.48	tropical	0	T
Dendrolagus_matschiei	3.84	tropical	0	T
Bettongia_lesueur	3.18	subtroptropical	0	T
Aepyprymnus_rufescens	3.51	subtropical	0	T
Trichosurus_vulpecula	3.42	temperatesubtrop	0	T
Petropseudes_dahli	3.21	tropical	0	T
Petaurus_breviceps	2.11	subtroptropical	0	T
Tarsipes_rostratus	0.95	subtropical	0	T
Loxodonta_africana	6.6	subtroptropical	1	T
Elephas_maximus	6.43	subtroptropical	1	T
Dendrohyrax_dorsalis	3.5	tropical	0	T
Trichechus_manatus	5.64	subtroptropical	1	W
Trichechus_inunguis	5.68	tropical	1	W
Dugong_dugon	5.62	subtroptropical	1	W
Orycteropus_afer	4.72	tropical	0	T
Potamogale_velox	2.82	tropical	0	T
Amblysomus_hottentotus	1.83	subtropical	0	T
Euphractus_sexcinctus	3.68	tropical	0	T
Myrmecophaga_tridactyla	4.35	tropical	0	T
Bradypus_torquatus	3.59	tropical	0	T
Solenodon_paradoxus	2.95	tropical	0	T
Anourosorex_squamipes	1.3	tropical	0	T
Cryptotis_montivaga	1.05	tropical	0	T
Cryptotis_squamipes	1.04	tropical	0	T
Cryptotis_goldmani	0.9	tropical	0	T
Cryptotis_mexicana	0.85	tropical	0	T
Cryptotis_thomasi	1.1	tropical	0	T
Cryptotis_parva	0.7	tempsubtroptropical	0	T
Cryptotis_nigrescens	0.85	tropical	0	T
Cryptotis_meridensis	1.08	tropical	0	T
Cryptotis_magna	0.85	tropical	0	T
Cryptotis_goodwini	0.85	tropical	0	T
Crocidura_fuliginosa	1.08	tropical	0	T
Echinosorex_gymnura	2.98	tropical	0	T
Myotis_sodalis	0.84	subtropical	1	A
Myotis_nigricans	0.63	tropical	0	A
Myotis_frater	0.88	temperatesubtrop	0	A
Myotis_mystacinus	0.7	temperatesubtrop	1	A
Myotis_thysanodes	0.91	subtropical	1	A
Myotis_nattereri	0.85	temperatesubtrop	0	A
Myotis_myotis	1.39	temperatesubtrop	1	A
Myotis_blythii	1.35	temperatesubtrop	1	A
Myotis_tricolor	1.14	tropical	0	A
Myotis_emarginatus	0.88	temperatesubtrop	0	A
Myotis_capaccinii	0.87	temperatesubtrop	0	A
Myotis_velifer	1	subtropical	1	A
Myotis_montivagus	0.92	subtroptropical	0	A
Myotis_lucifugus	0.88	temperate	1	A
Myotis_levis	0.74	subtropical	0	A
Myotis_grisescens	1.02	subtropical	1	A
Myotis_fortidens	0.64	tropical	0	A
Myotis_dasycneme	1.15	temperate	1	A
Eptesicus_serotinus	1.36	temperatesubtrop	0	A
Eptesicus_fuscus	1.22	tempsubtroptropical	0	A
Pipistrellus_coromandra	0.66	tropical	0	A
Pipistrellus_pipistrellus	0.76	tempsubtroptropical	1	A
Pipistrellus_nathusii	0.86	temperatesubtrop	1	A
Pipistrellus_rusticus	0.66	tropical	0	A
Pipistrellus_kuhlii	0.77	temperatesubtrop	0	A
Scotophilus_nigrita	2	tropical	1	A
Plecotus_auritus	0.89	temperate	0	A
