species,TS
Tachyglossus_aculeatus,28
Zaglossus_bruijni,1.3
Zaglossus_bartoni,6.8
Ornithorhynchus_anatinus,2.9
Pedetes_capensis,1.2
Sicista_betulina,33
Jaculus_jaculus,2.5
Jaculus_orientalis,27
Zapus_hudsonius,32.4
Zapus_princeps,31.7
Acomys_cahirinus,2.2
Acomys_russatus,11.9
Micaelamys_namaquensis,1.8
Apodemus_speciosus,1.7
Apodemus_agrarius,2.5
Apodemus_mystacinus,0.8
Notomys_alexis,0.1
Notomys_cervinus,0.3
Pseudomys_gracilicaudatus,1.2
Pseudomys_hermannsburgensis,3.2
Hydromys_chrysogaster,0.5
Thallomys_nigricauda,9.4
Thallomys_paedulcus,1.4
Lemniscomys_griselda,1.2
Mastomys_natalensis,0.6
Mus_musculus,12.3
Mus_minutoides,0.9
Otomys_irroratus,0.9
Myotomys_sloggetti,0.2
Myotomys_unisulcatus,1.6
Parotomys_brantsii,2.5
Rattus_fuscipes,2.3
Rattus_lutreolus,0.6
Rattus_villosissimus,0.9
Rattus_rattus,1.7
Rattus_norvegicus,0.1
Rhabdomys_pumilio,0.6
Akodon_azarae,3.6
Phyllotis_darwini,19.6
Graomys_griseoflavus,1.1
Calomys_venustus,21.5
Calomys_musculinus,8.2
Oxymycterus_roberti,1
Sigmodon_hispidus,1.1
Baiomys_taylori,12.5
Scotinomys_teguina,6.5
Scotinomys_xerampelinus,3.4
Ochrotomys_nuttalli,0.6
Megadontomys_thomasi,2.9
Peromyscus_boylii,19
Peromyscus_californicus,2.4
Peromyscus_crinitus,20
Peromyscus_eremicus,21
Peromyscus_gossypinus,24
Peromyscus_leucopus,15
Peromyscus_maniculatus,20
Peromyscus_megalops,1.2
Peromyscus_polionotus,0.5
Peromyscus_truei,0.6
Isthmomys_pirrensis,2.5
Reithrodontomys_megalotis,27.4
Cricetus_cricetus,31.9
Cricetulus_migratorius,0.6
Mesocricetus_auratus,33.5
Phodopus_campbelli,11.3
Phodopus_roborovskii,2.3
Phodopus_sungorus,23
Myodes_californicus,1.7
Myodes_gapperi,1.3
Myodes_rufocanus,1.6
Arborimus_longicaudus,3.3
Phenacomys_intermedius,2.4
Dicrostonyx_groenlandicus,2.7
Lemmiscus_curtatus,1
Lemmus_trimucronatus,0.6
Myopus_schisticolor,2.5
Microtus_agrestis,1.7
Microtus_cabrerae,2.2
Microtus_maximowiczii,1
Microtus_richardsoni,0.6
Microtus_xanthognathus,1.9
Microtus_longicaudus,1.6
Microtus_arvalis,1.4
Microtus_guentheri,0.8
Microtus_montanus,0.6
Microtus_oeconomus,2.3
Microtus_ochrogaster,0.7
Microtus_pinetorum,1.8
Neofiber_alleni,1.7
Ondatra_zibethicus,0.5
Meriones_tristrami,1.9
Meriones_unguiculatus,0.1
Desmodillus_auricularis,0.9
Gerbillurus_paeba,1.3
Gerbillurus_setzeri,1
Gerbillurus_tytonis,1.5
Gerbillurus_vallinus,2.5
Gerbillus_andersoni,3.7
Dipodillus_dasyurus,0.9
Gerbillus_pusillus,17.9
Gerbillus_nanus,4.6
Gerbillus_pyramidum,1.4
Pachyuromys_duprasi,0.8
Gerbilliscus_afra,2.9
Gerbilliscus_leucogaster,0.2
Cricetomys_gambianus,3.4
Saccostomus_campestris,13.7
Cannomys_badius,1.5
Steatomys_pratensis,17.7
Mystromys_albicaudatus,0.6
Castor_canadensis,0.3
Perognathus_alticolus,2.7
Perognathus_longimembris,34.5
Perognathus_parvus,34
Chaetodipus_intermedius,27.7
Chaetodipus_californicus,23
Chaetodipus_hispidus,29.5
Dipodomys_ordii,0.2
Dipodomys_panamintinus,19.1
Dipodomys_microps,2.4
Dipodomys_merriami,15.2
Dipodomys_deserti,1.1
Microdipodops_pallidus,28.4
Thomomys_bottae,0.7
Thomomys_umbrinus,11.5
Thomomys_talpoides,20
Geomys_bursarius,11.4
Geomys_pinetis,2.6
Liomys_salvini,1.1
Liomys_irroratus,0.9
Heteromys_anomalus,0.4
Octodon_degus,2.1
Ctenomys_talarum,5.6
Ctenomys_australis,2.8
Hydrochoerus_hydrochaeris,0.6
Kerodon_rupestris,1.3
Myoprocta_acouchy,0.5
Dasyprocta_leporina,0.5
Dasyprocta_azarae,0.6
Thrichomys_apereoides,1
Dolichotis_salinicola,0.6
Cuniculus_paca,0.8
Hystrix_africaeaustralis,0.3
Heliophobius_argenteocinereus,2.1
Fukomys_damarensis,6.5
Fukomys_hottentotus_pretoriae,11.7
Fukomys_darlingi,2.9
Fukomys_mechowi,3.9
Fukomys_bocagei,2.2
Georychus_capensis,0.9
Bathyergus_suillus,1
Bathyergus_janetta,1.4
Erethizon_dorsatum,0.9
Chinchilla_lanigera,0.8
Chinchilla_chinchilla,0.1
Lagidium_viscacia,0.1
Spalacopus_cyanus,0.7
Octodontomys_gliroides,5.8
Aplodontia_rufa,1.2
Marmota_broweri,36.49
Marmota_monax,30.9
Marmota_flaviventris,29.5
Spermophilus_undulatus,1.7
Spermophilus_parryii,39.9
Spermophilus_richardsonii,34.8
Spermophilus_tridecemlineatus,31.6
Spermophilus_citellus,37.6
Spermophilus_xanthoprymnus,33.2
Spermophilus_suslicus,30
Spermophilus_tereticaudus,24.4
Spermophilus_saturatus,37.4
Spermophilus_mexicanus,29
Spermophilus_lateralis,32.4
Spermophilus_variegatus,29
Cynomys_leucurus,27
Cynomys_parvidens,29
Cynomys_ludovicianus,22
Ammospermophilus_leucurus,5.4
Tamias_striatus,33.2
Tamias_merriami,1.5
Tamias_minimus,33
Funisciurus_congicus,0.1
Paraxerus_cepapi,0.1
Paraxerus_palliatus_ornatus,0.1
Paraxerus_palliatus_tongensis,1.5
Xerus_inauris,3.6
Tamiasciurus_hudsonicus,4.4
Sciurus_carolinensis,2.8
Glaucomys_volans,1.9
Eliomys_quercinus,35.7
Muscardinus_avellanarius,35.8
Glis_glis,36.3
Graphiurus_murinus,33.9
Graphiurus_ocularis,23
Sylvilagus_floridanus,1.2
Sylvilagus_audubonii,2.8
Lepus_alleni,2.1
Lepus_californicus,2.1
Lepus_americanus,1.2
Lepus_arcticus,0.9
Lepus_timidus,2
Lepus_townsendii,0.5
Ochotona_princeps,2.2
Cercopithecus_mitis,1.9
Colobus_guereza,3
Gorilla_gorilla,1.5
Pan_troglodytes,1.7
Hylobates_lar,0.7
Aotus_trivirgatus,1
Callithrix_pygmaea,7.7
Callithrix_jacchus,3.5
Saimiri_sciureus,1.2
Tarsius_syrichta,0.8
Microcebus_murinus,24.5
Microcebus_griseorufus,27.6
Microcebus_myoxinus,29.3
Cheirogaleus_crossleyi,26
Cheirogaleus_medius,26.6
Eulemur_fulvus,1.2
Lepilemur_ruficaudatus,1.4
Perodicticus_potto,3.1
Galago_moholi,15.2
Ptilocercus_lowii,1.5
Tupaia_belangeri,3.7
Tupaia_glis,8
Oryx_leucoryx,1.9
Connochaetes_taurinus,0.4
Ovis_ammon,1.1
Ovis_canadensis,0.9
Capra_hircus,0
Capra_ibex,1.7
Aepyceros_melampus,1.3
Antidorcas_marsupialis,1.8
Gazella_subgutturosa,2.3
Philantomba_monticola,0.1
Raphicerus_campestris,0.8
Kobus_ellipsiprymnus,0.9
Madoqua_kirkii,1.1
Taurotragus_oryx,1.7
Alces_alces,0.6
Odocoileus_hemionus,0.9
Odocoileus_virginianus,2.2
Rangifer_tarandus,1.3
Cervus_elaphus,20.5
Dama_dama,2.6
Antilocapra_americana,3.8
Tragulus_javanicus,1.3
Tursiops_truncatus,0.6
Pseudorca_crassidens,0.6
Globicephala_macrorhynchus,0.5
Orcinus_orca,0.6
Stenella_longirostris,1.3
Steno_bredanensis,0.4
Pecari_tajacu,1.6
Camelus_dromedarius,1.4
Diceros_bicornis,0.2
Equus_caballus,0.5
Equus_ferus_przewalski,11.8
Mustela_erminea,1.5
Mustela_nivalis,1.5
Neovison_vison,1.4
Gulo_gulo,1.5
Meles_meles,8.7
Meles_anakuma,3.4
Lontra_canadensis,0.6
Lutra_lutra,2.5
Enhydra_lutris,1.6
Mephitis_mephitis,11
Spilogale_putorius,1.3
Taxidea_taxus,9
Nasua_nasua,2.4
Potos_flavus,3.3
Ailurus_fulgens,0.6
Zalophus_californianus,1.2
Callorhinus_ursinus,0.3
Phoca_vitulina,0.2
Pagophilus_groenlandicus,1.2
Leptonychotes_weddellii,1.3
Mirounga_angustirostris,2
Ursus_arctos,3.7
Ursus_americanus,8.1
Canis_lupus,0.1
Canis_latrans,0.6
Canis_mesomelas,0.8
Lycalopex_culpaeus,0.6
Cerdocyon_thous,0.5
Nyctereutes_procyonoides,4.8
Vulpes_vulpes,2.6
Vulpes_lagopus,0.3
Vulpes_macrotis,0.7
Vulpes_zerda,0.5
Panthera_leo,0.9
Panthera_tigris,0.1
Leopardus_pardalis,0.8
Leopardus_wiedii,0.5
